Name,Scopus_ID,Journal,Link,Date,Citations,Keywords,Impact Factor,Journal Homepage,Open Access,Access Type
ABDORREZA MOHAMMADI NAFCHI,57205295763,Food Control,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034968709&origin=inward,2026-09-01,2,Antibacterial activity ; Antioxidant activity ; Enzyme-like activity ; Polysaccharide stabilization ; Strawberry preservation,N/A,N/A,No,
ABDORREZA MOHAMMADI NAFCHI,57205295763,Public Health in Practice,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029241789&origin=inward,2026-06-01,1,N/A,N/A,N/A,Yes,"All Open Access, Gold, Green"
ABDORREZA MOHAMMADI NAFCHI,57205295763,Applied Food Research,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105025462310&origin=inward,2026-06-01,8,Basil seed beverage ; Gellan gum ; Persian gum ; Rheological properties ; Sodium alginate ; Stabilizers ; Suspension stability,N/A,N/A,Yes,"All Open Access, Gold"
ABDORREZA MOHAMMADI NAFCHI,57205295763,Journal of Food Science and Technology Iran,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105040182191&origin=inward,2026-06-01,0,correlation ; edible coating ; K-value ; loquat seed polysaccharide ; rainbow trout ; spoilage,N/A,N/A,No,
ABDORREZA MOHAMMADI NAFCHI,57205295763,Reaction Kinetics Mechanisms and Catalysis,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105028211339&origin=inward,2026-04-01,1,Amino acid ; Catalytic decarboxylation reaction ; Pyridoxal 5′-phosphate ; Theoretical calculation,N/A,N/A,No,
ABDORREZA MOHAMMADI NAFCHI,57205295763,Journal of Food Measurement and Characterization,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023665435&origin=inward,2026-03-01,8,Encapsulation ; Hydrogel ; Jujube (Ziziphus jujuba) extract ; Sodium alginate ; Soy protein isolate ; Thermal processing,N/A,N/A,No,
ABDORREZA MOHAMMADI NAFCHI,57205295763,Journal of Food Measurement and Characterization,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105024713076&origin=inward,2026-03-01,11,Antioxidant activity ; Food spoilage indicator ; Gelatin film ; Intelligent packaging ; PH-Sensitive indicator,N/A,N/A,No,
ABDORREZA MOHAMMADI NAFCHI,57205295763,Packaging Operations in the Food Industry Unit Operations and Processing Equipment in the Food Industry,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033420490&origin=inward,2026-01-01,0,biocomposite films ; food sector ; nanoparticles ; Nanotechnology ; silver,N/A,N/A,No,
ABDORREZA MOHAMMADI NAFCHI,57205295763,Food Science and Nutrition,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105028101203&origin=inward,2026-01-01,12,active film ; meat ; nano-TiO2 ; oxidation ; Penganum harmala ; sago starch,N/A,N/A,Yes,"All Open Access, Hybrid Gold, Green"
ABDORREZA MOHAMMADI NAFCHI,57205295763,Journal of Food Measurement and Characterization,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105035406889&origin=inward,2026-01-01,0,Artocarpus altilis ; Composite flour muffins ; Mineral enrichment ; Physicochemical characterisation ; Texture Profile Analysis (TPA),N/A,N/A,No,
ABDORREZA MOHAMMADI NAFCHI,57205295763,Food Hydrocolloids for Health,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105020260545&origin=inward,2025-12-01,2,biopolymer compatibility ; Capsules and Beads ; Encapsulation ; Food coating ; Native biopolymers ; Persian gum ; Pharmaceutical applications,N/A,N/A,Yes,"All Open Access, Gold, Green"
ABDORREZA MOHAMMADI NAFCHI,57205295763,Bioactive Carbohydrates and Dietary Fibre,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105021257414&origin=inward,2025-12-01,3,Antioxidant activity ; Emulsion ; Essential oil ; Plant-based milk ; Ultrasonication,N/A,N/A,No,
ABDORREZA MOHAMMADI NAFCHI,57205295763,Future Foods,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105010689545&origin=inward,2025-12-01,2,Chemical evaluation ; Fish fillet ; Loquat (Eriobotrya japonica) ; Microbial evaluation ; Polysaccharide ; Shelf life,N/A,N/A,Yes,"All Open Access, Gold"
ABDORREZA MOHAMMADI NAFCHI,57205295763,Applied Food Research,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105011058805&origin=inward,2025-12-01,15,High-hydrostatic pressure ; In-vitro digestibility ; Physicochemical properties ; Sago starch,N/A,N/A,Yes,"All Open Access, Gold, Green"
ABDORREZA MOHAMMADI NAFCHI,57205295763,International Journal of Biological Macromolecules,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105016781213&origin=inward,2025-11-01,4,Emulsion electrospinning ; Nanofibers ; Pullulan ; Tocotrienol ; Zein,N/A,N/A,No,
ABDORREZA MOHAMMADI NAFCHI,57205295763,Journal of Food Measurement and Characterization,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105010634092&origin=inward,2025-10-01,38,Active packaging ; Chicken fillets ; Chitosan films ; Eggplant anthocyanins ; Essential oil ; Food preservation ; Nanoemulsion ; Oliveria decumbens,N/A,N/A,Yes,"All Open Access, Hybrid Gold"
ABDORREZA MOHAMMADI NAFCHI,57205295763,Food Science and Nutrition,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105016816192&origin=inward,2025-09-01,27,anthocyanins ; biodegradable film ; fish spoilage indicator ; pH-responsive packaging ; pomegranate flower extract,N/A,N/A,Yes,"All Open Access, Hybrid Gold, Green"
